活动类别,持续时间,开始时间,结束时间,备注
课程+作业,0:18,2023/6/13 18:59,2023/6/13 19:18,心理测量—还是自学比较快乐
刷B站知乎,0:28,2023/6/13 18:25,2023/6/13 18:53,
观影+打游戏,0:43,2023/6/13 17:28,2023/6/13 18:12,GS3！太TM香了忍不住
课程+作业,0:08,2023/6/13 16:27,2023/6/13 16:36,心理测量—还是自学比较快乐
课程+作业,0:38,2023/6/13 15:40,2023/6/13 16:18,心理测量—还是自学比较快乐
刷B站知乎,0:45,2023/6/13 14:27,2023/6/13 15:12,
课程+作业,0:27,2023/6/12 22:34,2023/6/12 23:02,多元微积分与线性代数
课程+作业,0:41,2023/6/12 21:12,2023/6/12 21:54,多元微积分与线性代数
课程+作业,2:39,2023/6/12 18:00,2023/6/12 20:39,多元微积分与线性代数
观影+打游戏,0:22,2023/6/12 17:22,2023/6/12 17:45,GS3！太TM香了忍不住
课程+作业,1:39,2023/6/12 14:34,2023/6/12 16:13,多元微积分与线性代数
课程+作业,0:26,2023/6/12 14:03,2023/6/12 14:29,心理测量—还是自学比较快乐
课程+作业,0:44,2023/6/12 10:17,2023/6/12 11:01,多元微积分与线性代数
课程+作业,0:34,2023/6/12 9:36,2023/6/12 10:10,多元微积分与线性代数
刷B站知乎,0:27,2023/6/12 8:56,2023/6/12 9:24,
语言,0:20,2023/6/12 8:33,2023/6/12 8:54,日语 乐
课程+作业,0:11,2023/6/11 19:58,2023/6/11 20:09,心理测量—还是自学比较快乐
课程+作业,0:32,2023/6/11 19:25,2023/6/11 19:58,多元微积分与线性代数
观影+打游戏,0:57,2023/6/11 18:19,2023/6/11 19:17,GS3！太TM香了忍不住
阅读,0:20,2023/6/11 17:48,2023/6/11 18:09,chatter
观影+打游戏,0:47,2023/6/11 16:11,2023/6/11 16:59,漫长的季节
课程+作业,0:30,2023/6/11 15:36,2023/6/11 16:07,多元微积分与线性代数
课程+作业,0:57,2023/6/11 13:52,2023/6/11 14:50,多元微积分与线性代数
观影+打游戏,0:54,2023/6/11 10:33,2023/6/11 11:27,漫长的季节
观影+打游戏,0:01,2023/6/11 10:30,2023/6/11 10:31,漫长的季节
课程+作业,1:02,2023/6/11 9:19,2023/6/11 10:21,多元微积分与线性代数
课程+作业,0:18,2023/6/10 22:31,2023/6/10 22:50,多元微积分与线性代数
课程+作业,0:07,2023/6/10 21:04,2023/6/10 21:12,心理测量—还是自学比较快乐
观影+打游戏,0:25,2023/6/10 20:20,2023/6/10 20:46,GS3！太TM香了忍不住
观影+打游戏,0:10,2023/6/10 19:19,2023/6/10 19:29,GS系列通用
观影+打游戏,0:18,2023/6/10 19:00,2023/6/10 19:18,GS系列通用
psy自由探索,0:25,2023/6/10 18:30,2023/6/10 18:56,保研相关
psy自由探索,0:12,2023/6/10 18:18,2023/6/10 18:30,保研相关
观影+打游戏,0:09,2023/6/10 17:03,2023/6/10 17:13,GS系列通用
观影+打游戏,1:26,2023/6/10 15:29,2023/6/10 16:56,漫长的季节
psy自由探索,0:15,2023/6/10 15:09,2023/6/10 15:24,保研相关
课程+作业,0:58,2023/6/10 13:59,2023/6/10 14:58,多元微积分与线性代数
课程+作业,0:39,2023/6/10 10:18,2023/6/10 10:58,多元微积分与线性代数
语言,0:28,2023/6/10 8:35,2023/6/10 9:03,日语 乐
课程+作业,0:19,2023/6/9 22:43,2023/6/9 23:03,多元微积分与线性代数
课程+作业,0:19,2023/6/9 22:24,2023/6/9 22:43,多元微积分与线性代数
观影+打游戏,1:09,2023/6/9 20:49,2023/6/9 21:59,GS系列通用
阅读,0:17,2023/6/9 20:31,2023/6/9 20:49,chatter
psy自由探索,0:23,2023/6/9 19:45,2023/6/9 20:09,保研相关
课程+作业,0:28,2023/6/9 19:17,2023/6/9 19:45,多元微积分与线性代数
观影+打游戏,0:53,2023/6/9 18:03,2023/6/9 18:57,GS3！太TM香了忍不住
观影+打游戏,0:25,2023/6/9 16:35,2023/6/9 17:00,漫长的季节
观影+打游戏,0:14,2023/6/9 16:20,2023/6/9 16:34,漫长的季节
课程+作业,0:28,2023/6/9 15:49,2023/6/9 16:17,心理测量—还是自学比较快乐
课程+作业,1:08,2023/6/9 14:32,2023/6/9 15:41,多元微积分与线性代数
观影+打游戏,0:15,2023/6/9 14:15,2023/6/9 14:30,GS系列通用
阅读,0:24,2023/6/9 11:47,2023/6/9 12:12,chatter
课程+作业,1:05,2023/6/9 9:38,2023/6/9 10:44,多元微积分与线性代数
语言,0:15,2023/6/9 9:18,2023/6/9 9:34,日语 乐
阅读,0:13,2023/6/8 21:15,2023/6/8 21:29,chatter
psy自由探索,0:33,2023/6/8 18:31,2023/6/8 19:05,保研相关
psy自由探索,0:27,2023/6/8 17:45,2023/6/8 18:12,保研相关
观影+打游戏,0:49,2023/6/8 15:45,2023/6/8 16:35,漫长的季节
观影+打游戏,0:38,2023/6/8 15:07,2023/6/8 15:45,漫长的季节
psy自由探索,0:11,2023/6/8 10:47,2023/6/8 10:59,保研相关
观影+打游戏,0:09,2023/6/7 22:56,2023/6/7 23:05,GS系列通用
观影+打游戏,0:10,2023/6/7 22:45,2023/6/7 22:55,GS系列通用
课程+作业,0:13,2023/6/7 22:31,2023/6/7 22:45,心理测量—还是自学比较快乐
课程+作业,0:07,2023/6/7 22:24,2023/6/7 22:31,心理测量—还是自学比较快乐
课程+作业,1:44,2023/6/7 19:09,2023/6/7 20:53,心理咨询期末作业
观影+打游戏,1:02,2023/6/7 17:55,2023/6/7 18:57,GS3！太TM香了忍不住
观影+打游戏,0:27,2023/6/7 16:23,2023/6/7 16:50,漫长的季节
课程+作业,0:41,2023/6/7 15:38,2023/6/7 16:20,心理咨询期末作业
课程+作业,0:20,2023/6/7 15:04,2023/6/7 15:24,心理咨询期末作业
课程+作业,0:22,2023/6/7 14:35,2023/6/7 14:57,多元微积分与线性代数
课程+作业,0:15,2023/6/7 14:20,2023/6/7 14:35,多元微积分与线性代数
阅读,0:30,2023/6/7 11:58,2023/6/7 12:28,海棠
课程+作业,0:46,2023/6/7 10:22,2023/6/7 11:09,多元微积分与线性代数
语言,0:27,2023/6/7 9:51,2023/6/7 10:18,日语 乐
课程+作业,0:32,2023/6/6 22:11,2023/6/6 22:43,心理咨询期末作业
psy自由探索,0:10,2023/6/6 21:53,2023/6/6 22:03,保研相关
观影+打游戏,0:38,2023/6/6 20:12,2023/6/6 20:50,drama
观影+打游戏,0:02,2023/6/6 20:09,2023/6/6 20:12,喵斯
课程+作业,0:42,2023/6/6 18:53,2023/6/6 19:35,心理测量—还是自学比较快乐
观影+打游戏,0:53,2023/6/6 17:44,2023/6/6 18:38,GS3！太TM香了忍不住
观影+打游戏,0:34,2023/6/6 15:51,2023/6/6 16:26,漫长的季节
psy自由探索,0:23,2023/6/6 15:16,2023/6/6 15:39,保研相关
课程+作业,0:59,2023/6/6 14:05,2023/6/6 15:04,多元微积分与线性代数
观影+打游戏,0:20,2023/6/6 12:02,2023/6/6 12:22,GS系列通用
课程+作业,0:32,2023/6/6 11:18,2023/6/6 11:50,心理咨询期末作业
语言,0:39,2023/6/6 10:27,2023/6/6 11:07,日语 乐
阅读,0:17,2023/6/6 10:04,2023/6/6 10:22,chatter
阅读,0:14,2023/6/5 22:30,2023/6/5 22:45,chatter
观影+打游戏,0:22,2023/6/5 21:06,2023/6/5 21:29,GS系列通用
阅读,0:06,2023/6/5 20:57,2023/6/5 21:03,chatter
阅读,0:18,2023/6/5 20:20,2023/6/5 20:39,chatter
psy自由探索,0:36,2023/6/5 19:42,2023/6/5 20:18,保研相关
观影+打游戏,0:31,2023/6/5 19:04,2023/6/5 19:35,漫长的季节
观影+打游戏,0:10,2023/6/5 18:54,2023/6/5 19:04,漫长的季节
课程+作业,0:40,2023/6/5 17:57,2023/6/5 18:38,心理咨询期末作业
观影+打游戏,0:12,2023/6/5 16:37,2023/6/5 16:49,GS系列通用
观影+打游戏,0:48,2023/6/5 15:49,2023/6/5 16:37,GS3！太TM香了忍不住
阅读,0:17,2023/6/5 15:28,2023/6/5 15:45,chatter
语言,0:36,2023/6/5 14:45,2023/6/5 15:21,日语 乐
阅读,0:10,2023/6/4 22:59,2023/6/4 23:10,outlive
观影+打游戏,0:40,2023/6/4 19:31,2023/6/4 20:12,漫长的季节
psy自由探索,0:31,2023/6/4 18:47,2023/6/4 19:19,保研相关
观影+打游戏,0:49,2023/6/4 17:40,2023/6/4 18:29,GS3！太TM香了忍不住
psy自由探索,1:01,2023/6/4 15:35,2023/6/4 16:37,保研相关
课程+作业,0:17,2023/6/4 15:09,2023/6/4 15:27,多元微积分与线性代数
课程+作业,0:32,2023/6/4 14:21,2023/6/4 14:53,多元微积分与线性代数
观影+打游戏,0:34,2023/6/4 10:42,2023/6/4 11:16,漫长的季节
psy自由探索,0:25,2023/6/4 10:11,2023/6/4 10:37,保研相关
语言,0:35,2023/6/4 9:01,2023/6/4 9:36,日语 乐
观影+打游戏,0:24,2023/6/3 22:26,2023/6/3 22:50,GS系列通用
观影+打游戏,1:01,2023/6/3 20:28,2023/6/3 21:29,GS3！太TM香了忍不住
观影+打游戏,0:53,2023/6/3 17:03,2023/6/3 17:57,漫长的季节
观影+打游戏,0:50,2023/6/3 15:29,2023/6/3 16:20,drama
课程+作业,0:36,2023/6/3 14:42,2023/6/3 15:18,心理咨询期末作业
语言,0:46,2023/6/3 11:49,2023/6/3 12:36,日语 乐
观影+打游戏,0:11,2023/6/3 10:55,2023/6/3 11:06,漫长的季节
观影+打游戏,0:10,2023/6/3 10:44,2023/6/3 10:54,漫长的季节
psy自由探索,0:29,2023/6/3 10:09,2023/6/3 10:39,保研相关
psy自由探索,0:13,2023/6/2 22:15,2023/6/2 22:28,保研相关
死磕或强迫娱乐,4:39,2023/6/2 17:34,2023/6/2 22:14,啊啊啊啥子稀里糊涂的一晚啊
观影+打游戏,0:16,2023/6/2 17:14,2023/6/2 17:31,转生恶役千金与义弟
观影+打游戏,2:52,2023/6/2 11:35,2023/6/2 14:28,转生恶役千金与义弟
psy自由探索,0:36,2023/6/2 10:07,2023/6/2 10:44,保研相关
语言,0:19,2023/6/2 9:39,2023/6/2 9:59,日语 乐
语言,0:16,2023/6/2 9:23,2023/6/2 9:39,日语 乐
观影+打游戏,0:58,2023/6/1 20:43,2023/6/1 21:42,异世界配信
观影+打游戏,0:23,2023/6/1 20:19,2023/6/1 20:42,遥远时空中7不错子 但是有点复杂 到时候再入坑
观影+打游戏,1:27,2023/6/1 18:40,2023/6/1 20:07,GS3！太TM香了忍不住
观影+打游戏,0:42,2023/6/1 17:57,2023/6/1 18:39,GS3！太TM香了忍不住
psy自由探索,0:37,2023/6/1 15:27,2023/6/1 16:04,保研相关
课程+作业,0:35,2023/6/1 14:34,2023/6/1 15:09,多元微积分与线性代数
语言,0:11,2023/6/1 9:12,2023/6/1 9:23,日语 乐
,,,,
活动类别,持续时间,%,,
观影+打游戏,52:22:00,9.49,,
课程+作业,46:56:00,8.5,,
psy自由探索,9:56,1.8,,
语言,6:39,1.21,,
数物计,5:38,1.02,,
死磕或强迫娱乐,5:24,0.98,,
阅读,4:56,0.89,,
刷B站知乎,2:30,0.45,,
音乐,1:32,0.28,,
未记录的时间,416:04:00,75.38,,
总共,552:00:00,100,,
